,age,sex,smoker,pren_prod,pren_comp,point_sales,product_type,dist_channel,pay_freq,pay_method,profession,evento,time
1617,46,1,1,33.0,0.44,1,7,2,3,1,1,True,13.0
7400,31,0,1,22.0,0.0,1,2,2,3,1,1,True,725.0
1380,34,0,1,42.0,0.0,3,9,2,3,1,1,False,35.0
7749,43,0,1,29.29,0.0,1,2,2,3,1,1,False,486.0
2059,31,1,1,32.4,0.23,2,8,2,3,1,1,False,2616.0
6906,57,1,1,1242.0,2508.0,0,7,0,0,0,1,True,3077.0
1755,48,0,1,81.6,0.0,1,7,2,3,1,1,True,130.0
177,46,0,1,36.8,0.0,0,7,2,3,0,1,True,562.0
5999,37,1,1,27.2,0.0,1,7,2,1,1,1,True,149.0
4990,37,1,1,48.5,0.0,1,8,2,3,1,1,True,427.0
5448,41,0,1,19.26,0.88,3,2,2,3,1,2,True,87.0
5635,28,1,1,39.0,2.0,1,8,2,3,1,0,False,3424.0
7586,62,0,1,56.25,0.0,1,7,2,3,1,1,True,332.0
6883,34,0,1,108.0,8.0,1,8,2,3,1,1,True,575.0
6448,41,1,1,66.83,0.0,1,8,2,3,1,2,True,1581.0
1712,37,1,1,65.0,3.58,1,7,2,3,1,1,False,533.0
6362,32,0,1,280.8,28.57,3,7,1,3,1,1,False,232.0
2535,27,1,0,38.5,1.08,1,7,2,3,1,1,True,1316.0
4072,34,1,0,56.0,0.75,0,8,2,3,1,1,True,210.0
6156,55,1,1,3384.73,0.0,0,0,1,0,0,1,True,567.0
7472,39,1,1,47.07,0.0,3,2,3,3,1,0,False,578.0
3186,39,0,1,70.7,0.0,1,8,2,3,1,1,False,2586.0
3187,21,1,1,37.0,0.0,1,8,2,3,1,1,True,149.0
4290,40,0,1,741.6,796.4,0,8,1,3,1,1,False,395.0
3586,43,1,1,34.62,0.0,2,2,2,3,1,1,False,548.0
592,50,0,1,56.0,0.0,1,7,2,1,1,0,False,913.0
5849,47,1,1,79.5,0.0,1,8,2,3,1,1,False,3882.0
7353,35,1,1,109.46,0.0,1,2,0,3,1,2,True,268.0
2315,35,1,1,32.5,0.0,3,7,2,3,1,1,True,49.0
1034,42,1,1,59.5,0.0,0,7,2,3,1,1,False,2601.0
3985,26,1,1,24.5,1.63,0,7,2,3,1,1,False,1552.0
6994,53,1,1,374.36,0.0,0,1,1,1,0,1,True,441.0
2675,40,0,1,51.5,22.49,1,8,2,3,1,1,True,560.0
337,36,1,1,48.0,0.0,1,8,2,1,1,1,True,180.0
7061,43,0,1,62.25,0.44,1,10,2,3,1,1,False,11.0
1081,40,1,1,79.0,5.19,0,10,2,3,1,1,False,189.0
5957,58,0,1,34.02,0.0,0,3,2,3,0,1,True,594.0
1337,40,1,1,79.0,0.0,0,7,2,3,1,1,False,2009.0
398,29,1,1,42.4,0.0,0,7,2,3,1,2,False,1004.0
3200,41,1,1,45.1,3.07,0,7,2,3,1,1,False,548.0
6489,38,0,1,48.0,7.25,0,8,2,3,1,1,False,594.0
6626,52,0,1,126.0,0.0,1,7,2,3,1,1,True,744.0
3884,63,0,1,47.4,0.0,1,7,2,1,1,2,True,145.0
7685,71,0,1,65.5,0.0,1,7,2,3,1,2,False,2952.0
5582,44,0,1,25.5,0.05,0,7,2,3,1,1,False,1735.0
6634,34,1,1,44.0,0.0,1,9,2,3,1,2,False,127.0
4959,59,1,1,96.4,0.12,1,7,2,3,0,1,True,127.0
6703,40,0,1,45.0,0.0,1,2,3,3,1,1,True,1822.0
2800,54,0,1,43.95,0.0,1,3,2,3,1,2,True,240.0
